chunk_id,sent_local_id,conllu_id,form,upos,start_char,end_char
1869_tarchetti_fosca_q1,1,1,L',DET,24406,24408
1869_tarchetti_fosca_q1,1,2,uomo,NOUN,24408,24412
1869_tarchetti_fosca_q1,1,3,è,AUX,24413,24414
1869_tarchetti_fosca_q1,1,4,più,ADV,24415,24418
1869_tarchetti_fosca_q1,1,5,profondo,ADJ,24419,24427
1869_tarchetti_fosca_q1,1,6-7,nell',_,24428,24433
1869_tarchetti_fosca_q1,1,6,in,ADP,,
1869_tarchetti_fosca_q1,1,7,l',DET,,
1869_tarchetti_fosca_q1,1,8,amore,NOUN,24433,24438
1869_tarchetti_fosca_q1,1,9,",",PUNCT,24438,24439
1869_tarchetti_fosca_q1,1,10,la,DET,24440,24442
1869_tarchetti_fosca_q1,1,11,donna,NOUN,24443,24448
1869_tarchetti_fosca_q1,1,12-13,nella,_,24449,24454
1869_tarchetti_fosca_q1,1,12,in,ADP,,
1869_tarchetti_fosca_q1,1,13,la,DET,,
1869_tarchetti_fosca_q1,1,14,tenerezza,NOUN,24455,24464
1869_tarchetti_fosca_q1,1,15,;,PUNCT,24464,24465
1869_tarchetti_fosca_q1,1,16,si,PRON,24466,24468
1869_tarchetti_fosca_q1,1,17,piange,VERB,24469,24475
1869_tarchetti_fosca_q1,1,18,meglio,ADV,24476,24482
1869_tarchetti_fosca_q1,1,19-20,sul,_,24483,24486
1869_tarchetti_fosca_q1,1,19,su,ADP,,
1869_tarchetti_fosca_q1,1,20,il,DET,,
1869_tarchetti_fosca_q1,1,21,seno,NOUN,24487,24491
1869_tarchetti_fosca_q1,1,22,di,ADP,24492,24494
1869_tarchetti_fosca_q1,1,23,una,DET,24495,24498
1869_tarchetti_fosca_q1,1,24,donna,NOUN,24499,24504
1869_tarchetti_fosca_q1,1,25,.,PUNCT,24504,24505
1869_tarchetti_fosca_q1,2,1,Non,ADV,24507,24510
1869_tarchetti_fosca_q1,2,2,so,VERB,24511,24513
1869_tarchetti_fosca_q1,2,3,se,SCONJ,24514,24516
1869_tarchetti_fosca_q1,2,4,gli,DET,24517,24520
1869_tarchetti_fosca_q1,2,5,altri,ADJ,24521,24526
1869_tarchetti_fosca_q1,2,6,uomini,NOUN,24527,24533
1869_tarchetti_fosca_q1,2,7,abbiano,VERB,24534,24541
1869_tarchetti_fosca_q1,2,8,sùbiti,VERB,24542,24548
1869_tarchetti_fosca_q1,2,9,abbandoni,NOUN,24549,24558
1869_tarchetti_fosca_q1,2,10,",",PUNCT,24558,24559
1869_tarchetti_fosca_q1,2,11,sùbiti,ADJ,24560,24566
1869_tarchetti_fosca_q1,2,12,impeti,NOUN,24567,24573
1869_tarchetti_fosca_q1,2,13,",",PUNCT,24573,24574
